xlat,xlong,wsp_avg_150.0,xland_avg,wsp_max_150.0,xland_max,wsp_min_150.0,xland_min,wsp_stddev_150.0,xland_stddev
55.264763,4.424377,10.4984999928,2.0,31.194552,2,0.192659,2,4.901762690529348,0.0
56.180813,-0.788025,10.3897227674,2.0,39.612775,2,0.139588,2,4.919423092636209,0.0
56.762192,2.021179,10.4066820485,2.0,41.809794,2,0.090907,2,5.214924683220653,0.0
55.078053,3.844330,10.4624614599,2.0,30.613853,2,0.081008,2,4.961010719181479,0.0
55.389236,5.314545,10.5597047688,2.0,30.569926,2,0.153230,2,4.808995016285309,0.0
55.264431,-1.422028,9.1293138005,2.0,34.424341,2,0.191721,2,4.306513516650492,0.0
55.657284,2.611755,10.3479767660,2.0,35.866708,2,0.339369,2,5.047773571833121,0.0
54.213337,4.067780,10.4193494310,2.0,31.737009,2,0.263903,2,4.888071140893104,0.0
54.864346,3.612366,10.4402864950,2.0,30.251118,2,0.187880,2,4.953955587799608,0.0
56.272449,-2.282776,9.7635974332,2.0,42.300696,2,0.309943,2,4.71173290966685,0.0
55.373417,-4.085327,9.8402815928,1.0,37.027678,1,0.137117,1,4.932329762456548,0.0
56.219322,1.844910,10.3753173815,2.0,39.471361,2,0.112335,2,5.128684732821887,0.0
54.007938,-1.180481,7.9620091303,1.0,28.244222,1,0.120066,1,3.8924989848560743,0.0
55.225864,-1.063660,9.4745698597,2.0,32.442276,2,0.172145,2,4.485159950062489,0.0
56.827583,-2.318146,9.2083844310,1.0,29.732719,1,0.125680,1,4.3866104153081,0.0
55.168869,0.325684,10.0707404523,2.0,35.284877,2,0.261212,2,4.849553698817328,0.0
55.870426,-0.817963,10.1244190290,2.0,37.433150,2,0.214682,2,4.781081683235423,0.0
56.193443,-1.143860,10.3148866049,2.0,42.115631,2,0.093003,2,4.89685162541604,0.0
55.014950,3.137878,10.4156120991,2.0,31.122947,2,0.113697,2,4.9650948215730555,0.0
54.516998,-4.330963,9.9934611889,2.0,33.739331,2,0.161188,2,4.888061199461673,0.0
